"","Subject","Comp","Period","Inv","OtherInv","Payoff","OtherPayoff"
"548",686,1,16,12,14,26.594,22.78
"549",686,1,10,12,16,30.904,21.008
"550",686,1,19,26,26,41.914,41.914
"551",686,1,22,26,26,41.914,41.914
"552",686,1,23,26,26,41.914,41.914
"553",686,1,25,26,26,41.914,41.914
"554",686,1,26,26,26,41.914,41.914
"555",686,1,3,26,18,5.57799999999996,61.658
"556",686,1,29,26,26,41.914,41.914
"557",686,1,8,14,18,37.69,23.258
"558",686,1,9,14,12,22.78,26.594
"559",686,1,11,12,28,57.688,-36.328
"560",686,1,12,16,16,32.224,32.224
"561",686,1,15,20,10,3.93000000000003,34.34
"562",686,1,17,28,18,-7.55799999999998,68.212
"563",686,1,18,26,26,41.914,41.914
"564",686,1,20,26,26,41.914,41.914
"565",686,1,21,26,26,41.914,41.914
"566",686,1,24,26,26,41.914,41.914
"567",686,1,1,20,18,31.642,42.26
"568",686,1,27,26,26,41.914,41.914
"569",686,1,4,26,18,5.57799999999996,61.658
"570",686,1,30,22,26,56.2339999999999,23.658
"571",687,1,29,26,26,41.914,41.914
"572",687,1,28,26,26,41.914,41.914
"573",687,1,27,26,26,41.914,41.914
"574",687,1,6,18,14,23.258,37.69
"575",687,1,4,18,26,61.658,5.57799999999996
"576",687,1,7,18,14,23.258,37.69
"577",687,1,30,26,22,23.658,56.2339999999999
"578",687,1,5,18,16,29.548,37.898
"579",687,1,14,18,18,35.882,35.882
"580",687,1,15,10,20,34.34,3.93000000000003
"581",687,1,2,28,26,31.418,51.108
"582",687,1,13,16,20,43.616,24.648
"583",687,1,22,26,26,41.914,41.914
"584",687,1,23,26,26,41.914,41.914
"585",687,1,24,26,26,41.914,41.914
"586",687,1,1,18,20,42.26,31.642
"587",687,1,3,18,26,61.658,5.57799999999996
"588",687,1,11,28,12,-36.328,57.688
"589",687,1,12,16,16,32.224,32.224
"590",687,1,8,18,14,23.258,37.69
"591",687,1,10,16,12,21.008,30.904
"592",687,1,19,26,26,41.914,41.914
"593",687,1,20,26,26,41.914,41.914
"594",687,1,16,14,12,22.78,26.594
"595",687,1,17,18,28,68.212,-7.55799999999998
"596",687,1,26,26,26,41.914,41.914
"597",687,1,18,26,26,41.914,41.914
"598",687,1,21,26,26,41.914,41.914
"599",687,1,25,26,26,41.914,41.914
"600",687,1,9,12,14,26.594,22.78
"601",688,1,7,12,2,1.658,-13.292
"602",688,1,29,12,12,22.328,22.328
"603",688,1,2,18,2,-13.558,-10.262
"604",688,1,6,10,4,5.66799999999999,-3.302
"605",688,1,28,12,28,57.688,-36.328
"606",688,1,1,18,2,-13.558,-10.262
"607",688,1,5,10,2,2.28199999999999,-14.214
"608",688,1,27,14,14,27.706,27.706
"609",688,1,9,14,0,-5.85199999999998,-26.782
"610",688,1,30,14,0,-5.85199999999998,-26.782
"611",688,1,8,14,6,8.26600000000002,9.914
"612",688,1,4,20,2,-23.078,-9.164
"613",688,1,16,12,28,57.688,-36.328
"614",688,1,26,12,18,35.258,17.012
