"","Subject","Comp","Period","Inv","OtherInv","Payoff","OtherPayoff"
"381",496,0,27,14.1,13.9,27.4584955030961,27.9532955030961
"382",496,0,12,9,2.8,-1.90628658008891,2.93249353086809
"383",496,0,23,12,16,32.6122012384556,22.7162012384556
"384",496,0,17,9.9,10,16.0043663358989,15.8416439156492
"385",496,0,13,8,28,67.9402487145108,1.73381320826947
"386",496,0,24,11,16,32.3004638803019,20.4531649898719
"387",496,0,18,9.9,9.6,15.0117349149067,15.487357349026
"388",496,0,22,9,16,31.1864439626732,16.0637886228674
"389",496,0,30,10,9.8,15.5937434850656,15.9170975211266
"390",496,0,21,10,10,16.09,16.09
"391",497,0,14,8,7,6.52302401984453,7.63800113496242
"392",497,0,4,14,5,7.28539775719884,21.0836397821642
"393",497,0,7,22,8,10.778902064285,48.3420282778773
"394",497,0,6,22,7,8.98927825142686,47.667381580137
"395",497,0,5,4,8,2.59491413720734,-0.610511660296128
"396",497,0,15,7,7,5.1205,5.1205
"397",497,0,9,22,13,20.4105017793902,49.2625357599728
"398",497,0,30,9.8,10,15.9170975211266,15.5937434850656
"399",497,0,11,11,10,16.8564033541025,18.5986218007044
"400",497,0,10,0.2,11,2.91019809630252,-4.84122403961981
"401",497,0,8,22,12,18.3930510829273,49.4054643977678
"402",497,0,12,2.8,9,2.93249353086809,-1.90628658008891
"403",497,0,24,16,11,20.4531649898719,32.3004638803019
"404",497,0,16,6,6,1.034,1.034
"405",497,0,26,15.9,14,27.4108553038718,32.4888455049813
"406",497,0,25,16,10,18.2356941180092,31.8252114550411
"407",497,0,23,16,12,22.7162012384556,32.6122012384556
"408",497,0,19,9.6,8.5,12.03104172698,13.6139987103364
"409",497,0,3,11,11,19.3165,19.3165
"410",497,0,2,10,12,21.1528089781298,17.4592916410979
"411",497,0,1,25,10,10.4169682652965,58.5036915662674
"412",497,0,27,13.9,14.1,27.9532955030961,27.4584955030961
"413",497,0,13,28,8,1.73381320826947,67.9402487145108
"414",497,0,28,13.5,12,22.7801662152466,26.099140383069
"415",497,0,17,10,9.9,15.8416439156492,16.0043663358989
"416",497,0,29,12,10,17.4592916410979,21.1528089781298
"417",497,0,18,9.6,9.9,15.487357349026,15.0117349149067
"418",497,0,20,15.5,10,18.2817194921139,30.4512914407963
"419",497,0,21,10,10,16.09,16.09
"420",497,0,22,16,9,16.0637886228674,31.1864439626732
"421",498,0,28,22,22,40.618,40.618
"422",498,0,4,2,20,35.0909030953695,1.84924706208246
"423",498,0,29,24,24,41.696,41.696
"424",498,0,17,14,16,32.7451307534419,27.3789698657859
"425",498,0,27,18,20,40.897452528754,33.8586480904738
"426",498,0,9,6,22,46.8292198152897,7.24521981528965
"427",498,0,14,12,22,49.4054643977678,18.3930510829273
"428",498,0,26,20,18,33.8586480904738,40.897452528754
"429",498,0,5,16,0,-1.43291888096552,18.0793585115449
"430",498,0,15,16,18,37.251291641098,31.0488089781299
"431",498,0,1,4,18,31.7317758506928,5.87715449146952
"432",498,0,6,4,2,-12.7000648082779,-12.3518345724943
"433",498,0,16,20,16,29.2195576878315,42.4608447890797
"434",498,0,2,12,4,3.94673560569482,13.70287430195
"435",498,0,24,12,16,32.6122012384556,22.7162012384556
"436",498,0,18,24,18,27.8497634661367,51.4751421069135
"437",498,0,3,14,14,27.706,27.706
"438",498,0,25,18,16,31.0488089781299,37.251291641098
"439",498,0,30,26,26,41.914,41.914
"440",498,0,7,10,14,26.3978794631435,18.1745230137677
"441",498,0,11,18,24,51.4751421069135,27.8497634661367
"442",498,0,10,24,22,36.8983263151618,45.609774304066
"443",498,0,22,12,14,27.3789698657859,22.8491307534419
"444",498,0,19,10,22,49.2007764720366,14.4948458201642
"445",498,0,12,10,22,49.2007764720366,14.4948458201642
"446",498,0,23,16,10,18.2356941180092,31.8252114550411
"447",498,0,8,22,20,35.8084872028178,43.68361341641
"448",498,0,13,22,22,40.618,40.618
"449",498,0,21,24,12,15.643880494228,55.3677417979728
"450",498,0,20,18,10,17.6428049538224,37.4348049538224
"451",499,0,1,18,4,5.87715449146952,31.7317758506928
"452",499,0,17,16,14,27.3789698657859,32.7451307534419
"453",499,0,12,22,10,14.4948458201642,49.2007764720366
"454",499,0,2,4,12,13.70287430195,3.94673560569482
"455",499,0,24,16,12,22.7162012384556,32.6122012384556
"456",499,0,13,22,22,40.618,40.618
"457",499,0,19,22,10,14.4948458201642,49.2007764720366
"458",499,0,9,22,6,7.24521981528965,46.8292198152897
"459",499,0,4,20,2,1.84924706208246,35.0909030953695
"460",499,0,20,10,18,37.4348049538224,17.6428049538224
"461",499,0,10,22,24,45.609774304066,36.8983263151618
"462",499,0,5,0,16,18.0793585115449,-1.43291888096552
"463",499,0,27,20,18,33.8586480904738,40.897452528754
"464",499,0,11,24,18,27.8497634661367,51.4751421069135
"465",499,0,6,2,4,-12.3518345724943,-12.7000648082779
"466",499,0,28,22,22,40.618,40.618
"467",499,0,25,16,18,37.251291641098,31.0488089781299
"468",499,0,18,18,24,51.4751421069135,27.8497634661367
"469",499,0,29,24,24,41.696,41.696
"470",499,0,3,14,14,27.706,27.706
"471",499,0,15,18,16,31.0488089781299,37.251291641098
